"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL16B-PS-PKPE-01:CR1:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL16B-PS-PKP-01:CR1:M16:S2"," ","OH1 OPTICS HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL16B-PS-BOBDR-01:CR1:M06:S3","OH1 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL16B-PS-BOBDR-01:CR1:M06:S4","OH1 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL16B-PS-SADC-01:CR1:M05:S1","OH1","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,5,2,"BL16B-PS-SADC-01:CR1:M05:S2","OH1","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,5,3,"BL16B-PS-GADC-01:CR1:M05:S3","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",6
8,5,4,"BL16B-PS-GADC-01:CR1:M05:S4","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",7
9,4,3,"BL16B-PS-HSC-01:CR1:M04:S3","OH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL16B-PS-opticsHutchClosed.edl"," ",8
10,4,4,"BL16B-PS-HSC-01:CR1:M04:S4","OH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL16B-PS-opticsHutchClosed.edl"," ",9
11,4,0,"BL16B-PS-IOC-01","LOP 5","OH1 OPTICS","HUTCH ENABLED","lop","no"," "," ",10
12,3,1,"BL16B-PS-STIM-01:CR1:M03:S1"," ","OH1 SEARCH","TIMER","serial","no"," "," ",6
13,3,2,"BL16B-PS-NSCOM-01:CR1:M03:S2"," ","OH1 NOT SEARCH","COMPLETE","serial","yes"," "," ",12
14,5,0,"BL16B-PS-IOC-01","LOP 1","OH1","INTERLOCKS SET","lop","no"," "," ",13
